STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      Augsburg;20141209;   3;   -0.8;   5.6;   7.7;  969.18;   97.75;   1.6;    0.9;   -2.4;   -2.0;   5.3;   0.0;   0;    0.000;   0;eor
      Augsburg;20141210;   3;    0.6;   5.6;   7.8;  967.37;   87.33;   4.1;    2.7;   -2.4;   -2.0;  11.6;   0.2;   4;    0.000;   0;eor
      Augsburg;20141211;   3;    4.7;   6.8;   7.5;  960.47;   79.42;   7.1;    6.6;    2.2;    1.3;  19.8;   0.0;   4;    0.633;   0;eor
      Augsburg;20141212;   3;    6.5;   6.2;   7.5;  955.94;   65.17;   5.5;    9.4;    2.4;   -1.4;  13.1;   0.0;   0;    3.117;   0;eor
      Augsburg;20141213;   3;    5.5;   6.6;   7.5;  956.66;   73.29;   2.7;    9.9;    1.2;   -2.3;   8.2;   0.5;   4;    1.950;   0;eor
      Augsburg;20141214;   3;    7.1;   8.0;   7.5;  960.54;   79.71;   2.5;   11.2;    4.2;    2.8;   5.0;   0.9;   4;    0.283;   0;eor
      Augsburg;20141215;   3;    7.5;   9.4;   7.5;  960.68;   90.21;   2.4;    9.4;    5.5;    4.3;   7.2;   2.1;   4;    0.000;   0;eor
      Augsburg;20141216;   3;    5.9;   8.7;   7.5;  957.58;   93.79;   1.7;    7.5;    3.3;    3.0;   9.1;   2.1;   4;    0.000;   0;eor
      Augsburg;20141217;   3;    4.0;   7.3;   7.4;  956.91;   89.88;   4.7;    5.6;    2.4;    1.0;  14.1;   4.8;   4;    0.000;   0;eor
      Augsburg;20141218;   3;    8.1;   9.9;   7.4;  961.08;   91.29;   6.1;   11.2;    5.3;    4.8;  12.4;   0.6;   4;    0.317;   0;eor
      Augsburg;20141219;   3;   10.1;   9.7;   7.1;  962.77;   78.75;   7.5;   12.2;    7.6;    6.5;  16.2;   3.9;   4;    3.683;   0;eor
      Augsburg;20141220;   3;    4.7;   6.8;   5.5;  967.47;   78.96;   6.4;    7.9;    1.8;   -1.1;  16.2;   3.4;   4;    4.383;   0;eor
      Augsburg;20141221;   3;    3.8;   6.5;   7.0;  974.19;   81.17;   5.1;    5.9;    1.3;   -0.3;  14.0;   0.0;   0;    4.350;   0;eor
      Augsburg;20141222;   3;    5.3;   6.4;   7.9;  969.65;   71.92;   5.7;    8.2;    1.6;    0.0;  12.3;   0.0;   0;    4.383;   0;eor
      Augsburg;20141223;   3;    4.9;   5.3;   4.4;  967.13;   63.17;   3.0;   10.5;   -2.8;   -6.0;  11.0;   0.0;   0;    6.467;   0;eor
      Augsburg;20141224;   3;    3.8;   5.9;   2.6;  965.69;   72.92;   4.9;    8.3;   -3.5;   -6.5;  13.9;   0.1;   4;    6.300;   0;eor
      Augsburg;20141225;   3;    4.2;   6.5;   7.0;  967.69;   77.71;   5.4;    7.2;    0.4;   -2.7;  13.5;   4.1;   4;    0.000;   0;eor
      Augsburg;20141226;   3;    0.3;   5.8;   6.7;  969.97;   93.50;   2.9;    2.4;   -2.4;   -7.3;   9.0;   2.2;   4;    2.317;   1;eor
      Augsburg;20141227;   3;   -1.0;   5.3;   7.0;  949.36;   92.75;   3.5;    1.9;   -5.5;  -10.5;   9.6;   3.8;   4;    0.000;   2;eor
      Augsburg;20141228;   3;   -5.7;   3.8;   5.7;  957.29;   90.04;   4.1;    1.1;  -17.6;  -11.1;  12.0;   0.7;   4;    0.000;   4;eor
      Augsburg;20141229;   3;   -8.2;   3.1;   6.8;  972.83;   89.83;   2.9;   -3.7;  -18.4;  -11.3;  11.7;   1.8;   4;    0.000;  12;eor
      Augsburg;20141230;   3;   -2.6;   4.8;   7.7;  975.47;   95.17;   2.8;   -0.3;   -5.1;   -0.8;   6.9;   6.9;   4;    0.000;  15;eor
      Augsburg;20141231;   3;   -0.9;   5.4;   7.3;  976.74;   93.88;   1.9;    0.2;   -2.5;   -0.2;   4.4;   0.0;   4;    0.000;  26;eor
      Augsburg;20150101;   3;   -3.3;   4.7;   7.1;  978.42;   97.42;   1.7;   -0.5;   -9.8;   -0.5;   4.9;   0.0;   0;    0.000;  22;eor
      Augsburg;20150102;   3;   -1.0;   5.3;   7.4;  974.88;   90.21;   4.2;    3.3;  -10.2;   -0.9;  12.5;   4.6;   4;    1.183;  18;eor
      Augsburg;20150103;   3;    1.3;   6.5;   7.5;  968.41;   96.75;   3.4;    6.6;   -2.7;    0.0;  16.0;  23.9;   4;    0.000;   9;eor
      Augsburg;20150104;   3;    1.3;   5.7;   7.5;  973.00;   85.50;   5.4;    1.8;    0.8;    0.0;  11.2;   0.0;   4;    0.017;   0;eor
      Augsburg;20150105;   3;    0.5;   5.0;   5.2;  975.22;   79.08;   3.1;    3.9;   -2.5;   -7.5;   9.8;   0.0;   0;    5.333;   0;eor
      Augsburg;20150106;   3;   -1.1;   4.8;   5.1;  968.56;   85.58;   1.3;    4.6;   -4.9;   -8.3;   3.3;   0.1;   4;    6.183;   0;eor
      Augsburg;20150107;   3;   -0.3;   5.6;   6.6;  972.17;   93.71;   2.0;    2.8;   -4.1;   -7.1;   5.9;   0.2;   4;    0.000;   1;eor
      Augsburg;20150108;   3;    4.9;   6.9;   7.7;  971.64;   80.67;   5.2;    8.1;   -1.1;   -1.6;  19.0;   0.1;   4;    0.017;   1;eor
      Augsburg;20150109;   3;    6.8;   8.0;   7.3;  969.22;   80.92;   8.5;    9.8;    2.1;   -0.6;  21.7;   2.6;   4;    0.000;   0;eor
      Augsburg;20150110;   3;   12.5;  10.6;   6.3;  960.82;   73.71;  11.4;   15.3;    9.7;    8.5;  23.0;  10.8;   4;    4.833;   0;eor
      Augsburg;20150111;   3;    3.4;   6.6;   7.0;  963.69;   84.13;   7.2;   11.4;    0.5;   -0.3;  16.6;   2.9;   4;    1.750;   0;eor
      Augsburg;20150112;   3;    3.6;   5.1;   7.5;  967.79;   65.04;   6.5;    6.0;    0.5;   -4.5;  18.9;   0.0;   0;    0.000;   0;eor
      Augsburg;20150113;   3;    6.4;   4.4;   3.1;  960.81;   47.71;   3.8;   13.8;   -2.6;   -6.3;  12.8;   0.0;   4;    7.933;   0;eor
      Augsburg;20150114;   3;    5.8;   6.9;   6.5;  959.85;   76.33;   6.0;   10.2;    0.0;   -2.7;  18.4;   2.7;   4;    0.167;   0;eor
      Augsburg;20150115;   3;    2.9;   6.2;   7.6;  956.60;   83.21;   2.7;    7.5;   -1.0;   -3.9;   7.3;   0.0;   0;    0.317;   0;eor
      Augsburg;20150116;   3;    1.7;   6.0;   6.8;  951.58;   86.79;   1.8;    5.4;   -1.5;   -4.4;   4.6;   4.1;   4;    0.350;   0;eor
      Augsburg;20150117;   3;    1.3;   6.5;   7.5;  957.77;   97.67;  -999;    4.3;    0.2;    0.0;  -999;   7.1;   4;    0.000;   0;eor
      Augsburg;20150118;   3;    0.9;   6.2;   7.2;  960.08;   94.79;  -999;    2.4;    0.2;   -0.1;  -999;   0.0;   4;    0.033;   0;eor
      Augsburg;20150119;   3;   -0.2;   5.3;   7.3;  955.53;   88.88;   2.3;    2.3;   -3.5;   -5.5;  -999;   0.0;   4;    3.883;   0;eor
      Augsburg;20150120;   3;   -0.3;   5.8;   7.2;  954.16;   96.50;  -999;    1.2;   -3.1;   -4.1;  -999;   1.0;   4;    0.000;   1;eor
      Augsburg;20150121;   3;   -0.1;   5.5;   7.6;  954.13;   90.13;   3.6;    0.5;   -0.9;   -0.9;   9.6;   0.0;   0;    0.000;   0;eor
      Augsburg;20150122;   3;    0.0;   5.6;   8.0;  955.50;   92.67;   2.3;    0.5;   -0.4;   -0.4;   5.7;   0.9;   4;    0.000;   0;eor
      Augsburg;20150123;   3;   -0.2;   5.7;   7.8;  963.40;   94.54;   2.7;    0.1;   -0.6;   -0.7;   5.2;   0.0;   4;    0.000;   0;eor
      Augsburg;20150124;   3;   -0.1;   5.4;   7.3;  964.15;   88.88;   2.9;    1.1;   -1.1;   -4.3;   7.3;   1.4;   4;    0.000;   0;eor
      Augsburg;20150125;   3;   -0.2;   5.4;   7.5;  969.83;   89.88;   3.3;    1.1;   -1.2;   -3.0;   7.5;   1.0;   4;    0.017;   3;eor
      Augsburg;20150126;   3;    0.1;   5.3;   7.1;  966.87;   86.33;   3.8;    2.4;   -0.8;   -1.4;   9.4;   2.2;   4;    1.367;   2;eor
      Augsburg;20150127;   3;    0.6;   6.0;   7.2;  963.41;   94.88;   4.9;    1.4;    0.0;   -2.8;  10.2;   2.5;   4;    0.533;   2;eor
      Augsburg;20150128;   3;    0.9;   5.5;   7.5;  957.98;   84.17;   4.9;    2.6;   -1.8;   -6.0;  15.5;   2.8;   4;    0.600;   4;eor
      Augsburg;20150129;   3;    1.5;   6.0;   6.3;  937.90;   88.46;   4.9;    3.1;   -0.7;   -3.5;  11.4;   5.9;   4;    3.683;   2;eor
      Augsburg;20150130;   3;    0.4;   5.4;   7.2;  923.71;   85.08;   5.7;    2.6;   -1.7;   -3.3;  20.4;   1.1;   4;    0.200;   0;eor
      Augsburg;20150131;   3;   -0.2;   5.0;   6.5;  929.53;   83.71;   3.3;    2.4;   -3.1;   -7.3;   9.2;   0.0;   4;    6.400;   3;eor
      Augsburg;20150201;   3;   -0.9;   5.1;   6.0;  936.40;   89.63;   3.4;    1.3;   -4.5;   -7.6;   9.5;   2.3;   4;    0.500;   1;eor
      Augsburg;20150202;   3;   -1.2;   5.1;   6.2;  944.13;   90.83;   4.5;    1.2;   -8.2;  -16.1;  10.1;   0.2;   4;    0.867;   5;eor
      Augsburg;20150203;   3;   -6.8;   3.3;   5.5;  947.37;   90.54;   1.6;    0.8;  -12.8;  -17.3;  -999;   0.0;   4;    8.367;   4;eor
      Augsburg;20150204;   3;   -7.1;   3.4;   5.6;  953.48;   92.46;  -999;   -2.5;  -12.3;  -14.3;  -999;   0.0;   4;    4.167;   4;eor
      Augsburg;20150205;   3;   -3.0;   4.0;   7.8;  957.20;   82.50;   5.2;   -2.0;   -4.3;   -4.8;  11.5;   0.0;   4;    0.000;   4;eor
      Augsburg;20150206;   3;   -4.0;   3.5;   2.5;  961.65;   76.42;   5.8;   -1.1;   -7.3;  -14.9;  13.9;   0.0;   0;    5.200;   4;eor
      Augsburg;20150207;   3;   -6.1;   3.0;   2.1;  968.35;   78.67;   3.0;   -2.3;   -9.8;  -13.6;   8.9;   0.2;   4;    8.433;   4;eor
      Augsburg;20150208;   3;   -2.3;   3.7;   6.1;  967.33;   72.17;   4.4;    1.1;   -5.3;  -11.8;  13.3;   0.3;   4;    2.767;   4;eor
      Augsburg;20150209;   3;   -1.5;   4.1;   7.6;  971.09;   73.29;   5.9;    0.7;   -5.1;   -8.4;  16.2;   0.0;   4;    0.000;   4;eor
      Augsburg;20150210;   3;    0.4;   5.3;   4.3;  972.20;   84.83;   1.6;    3.5;   -4.3;   -8.0;   4.9;   0.0;   0;    3.600;   3;eor
      Augsburg;20150211;   3;   -0.8;   5.4;   7.7;  969.41;   94.75;   2.5;    0.5;   -4.3;   -7.2;  -999;   0.0;   0;    0.000;   1;eor
      Augsburg;20150212;   3;   -1.8;   5.3;   8.0;  966.84;   98.75;   2.2;   -1.0;   -2.7;   -2.4;   5.1;   0.0;   0;    0.000;   1;eor
      Augsburg;20150213;   3;   -2.0;   5.1;   6.2;  962.99;   96.42;   2.2;    1.4;   -3.6;   -4.7;   4.3;   0.0;   4;    4.700;   1;eor
      Augsburg;20150214;   3;   -2.9;   4.8;   7.9;  956.30;   97.63;   2.7;   -1.0;   -4.8;   -4.4;   5.8;   0.0;   0;    0.033;   0;eor
      Augsburg;20150215;   3;   -1.6;   5.2;   8.0;  956.13;   95.92;   2.3;    0.0;   -3.4;   -3.1;   5.8;   0.0;   0;    0.000;   0;eor
      Augsburg;20150216;   3;   -0.8;   5.6;   8.0;  962.45;   96.63;   1.3;    0.4;   -2.2;   -1.8;   4.1;   0.0;   4;    0.000;   0;eor
      Augsburg;20150217;   3;   -1.9;   5.2;   7.9;  973.06;   98.92;   2.4;   -1.0;   -2.7;   -2.2;   6.5;   0.0;   4;    0.000;   0;eor
      Augsburg;20150218;   3;   -1.5;   5.2;   8.0;  980.97;   96.04;   2.4;   -0.8;   -2.6;   -2.3;   6.2;   0.0;   4;    0.000;   0;eor
      Augsburg;20150219;   3;   -1.7;   4.8;   5.4;  973.75;   90.33;   2.2;    2.7;   -4.4;   -7.5;   4.8;   0.0;   4;    4.283;   0;eor
      Augsburg;20150220;   3;    1.6;   4.4;   0.0;  961.15;   68.50;   2.3;   11.8;   -5.8;   -8.3;   6.2;   0.0;   0;    9.817;   0;eor
      Augsburg;20150221;   3;    1.0;   5.3;   5.5;  946.54;   80.08;   2.1;    6.9;   -4.2;   -7.5;   5.3;   1.8;   4;    0.250;   0;eor
      Augsburg;20150222;   3;    0.7;   6.2;   5.7;  952.52;   95.88;   1.7;    3.0;   -3.2;   -5.7;   4.1;   0.3;   4;    0.000;   1;eor
      Augsburg;20150223;   3;    0.2;   5.9;   6.3;  947.71;   93.79;   3.4;    3.7;   -4.6;   -5.4;   8.7;   3.3;   4;    1.650;   0;eor
      Augsburg;20150224;   3;    2.8;   6.4;   7.7;  953.34;   85.04;   3.0;    5.6;   -0.1;   -3.0;  10.1;   0.0;   4;    0.067;   0;eor
      Augsburg;20150225;   3;    1.3;   5.6;   6.7;  962.51;   85.00;  -999;    6.0;   -3.3;   -6.3;  -999;   0.1;   4;    1.267;   0;eor
      Augsburg;20150226;   3;    0.5;   5.0;   0.2;  962.99;   80.71;   1.8;    7.0;   -4.1;   -7.2;   4.8;   0.0;   0;    9.750;   0;eor
      Augsburg;20150227;   3;   -0.3;   5.3;   4.8;  956.75;   88.88;   2.2;    4.5;   -6.1;   -9.0;   6.1;   4.1;   4;    2.717;   0;eor
      Augsburg;20150228;   3;    1.4;   6.2;   6.2;  963.08;   91.58;   2.3;    3.5;   -1.5;   -4.1;   5.5;   0.0;   4;    0.000;   0;eor
      Augsburg;20150301;   3;    3.9;   7.3;   7.3;  954.72;   88.83;   4.7;    8.2;   -2.1;   -4.3;  13.4;   2.7;   4;    0.350;   0;eor
      Augsburg;20150302;   3;    5.6;   7.5;   7.0;  953.20;   81.38;   6.8;    8.8;    1.3;   -0.5;  16.3;   2.3;   4;    0.550;   0;eor
      Augsburg;20150303;   3;    4.0;   5.4;   4.5;  965.00;   66.46;   5.1;    8.8;   -0.4;   -2.5;  11.7;   1.9;   4;    7.867;   0;eor
      Augsburg;20150304;   3;    3.2;   5.7;   6.6;  968.51;   73.88;   4.0;    6.1;   -1.3;   -4.9;  13.8;   0.2;   4;    3.617;   0;eor
      Augsburg;20150305;   3;    1.6;   5.3;   6.8;  976.12;   77.42;   3.7;    5.3;   -1.5;   -4.4;  10.5;   0.0;   4;    1.550;   0;eor
      Augsburg;20150306;   3;    1.5;   5.3;   6.1;  978.98;   79.54;   1.5;    6.9;   -4.1;   -6.3;   5.9;   0.0;   0;    2.300;   0;eor
      Augsburg;20150307;   3;    2.5;   5.4;   2.8;  975.88;   75.54;   2.2;    9.3;   -4.3;   -6.5;   7.9;   0.0;   0;    9.350;   0;eor
      Augsburg;20150308;   3;    3.6;   6.0;   5.4;  969.78;   77.67;   2.1;   12.9;   -4.4;   -7.0;   7.6;   0.0;   0;    9.600;   0;eor
      Augsburg;20150309;   3;    4.0;   5.9;   5.3;  968.45;   75.46;   1.6;   13.6;   -2.9;   -6.0;   7.4;   0.0;   0;    9.650;   0;eor
      Augsburg;20150310;   3;    5.8;   6.2;   4.9;  969.04;   70.42;   2.0;   14.9;   -4.2;   -7.1;   6.0;   1.0;   4;    8.333;   0;eor
      Augsburg;20150311;   3;    4.6;   6.4;   3.5;  970.23;   75.42;   3.5;    7.9;   -3.9;   -6.6;   9.7;   0.0;   4;    7.750;   0;eor
      Augsburg;20150312;   3;    1.8;   5.2;   5.1;  971.06;   76.58;   1.9;    8.6;   -3.9;   -6.1;   6.5;   0.0;   4;    2.733;   0;eor
      Augsburg;20150313;   3;    1.5;   5.1;   4.3;  965.37;   76.25;   4.4;    6.4;   -2.4;   -5.9;   9.3;   0.0;   0;    3.067;   0;eor
      Augsburg;20150314;   3;    2.7;   6.1;   6.5;  965.55;   82.75;   3.5;    5.9;   -2.2;   -5.3;   8.0;   0.0;   0;    0.433;   0;eor
      Augsburg;20150315;   3;    4.0;   6.3;   5.5;  965.48;   78.42;   4.1;    8.9;    0.6;   -2.4;  10.8;   0.0;   0;    4.917;   0;eor
      Augsburg;20150316;   3;    6.8;   6.1;   6.2;  965.43;   62.63;   2.9;   14.6;    0.3;   -3.1;   8.2;   0.0;   0;    8.100;   0;eor
